participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q419,Peru,sovereign state in South America,PER,1821-07-28T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q419,Q7270
http://www.wikidata.org/entity/Q783,Honduras,sovereign state in Central America,HND,1821-01-01T00:00:00Z,,,,Q783,
http://www.wikidata.org/entity/Q796,Iraq,sovereign state in Western Asia,IRQ,1932-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q796,Q512187
http://www.wikidata.org/entity/Q792,El Salvador,sovereign state in Central America,SLV,1842-01-01T00:00:00Z,,,,Q792,
http://www.wikidata.org/entity/Q668,India,sovereign state in South Asia,IND,1947-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q668,Q512187
http://www.wikidata.org/entity/Q668,India,sovereign state in South Asia,IND,1947-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q3043547,parliamentary democracy,Q668,Q3043547
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1811-10-11T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1822-05-24T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1811-10-11T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1822-05-24T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1809-08-10T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1809-08-10T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q819,Laos,sovereign state in Southeast Asia,LAO,1949-01-01T00:00:00Z,,,,Q819,
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q584683,elective monarchy,Q833,Q584683
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3208952,federal monarchy,Q833,Q3208952
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,sovereign state in Central Africa,COD,1960-06-30T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q974,Q7270
http://www.wikidata.org/entity/Q958,South Sudan,sovereign state in Africa,SSD,2011-07-09T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q958,Q512187
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q833,Q41614
